UPOS	SPOS	EqlNumUPOS	EqlNumSPOS	gender1M2F	number1S2P	polarity1p2n3nu	Positive-Sentiment	Negative-Sentiment	Neutral-Sentiment	Morpho1P2S0N	complexword	compoundword	Reduplicatedword	Lema	Diac	Infinitive	UnigramProb	Token
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0011	سڄي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	رات
VERB	فعل	4	4	0	1	1	1	0	0	2	0	1	0	0	0	0	0.0001	جاڳندي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0027	رهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اڄ
DET	ضمير اشارو			0	1	3	0	0	3	2	1	0	0	1	1	0	0.002	هوءَ
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0024	گھڻي
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	1	1	3	0	0	3	2	1	0	0	1	0	0	0.001	ڇوڪرو
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0001	گوبر
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ڏاند
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0014	ڏسي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	2	1	3	0	0	3	1	0	0	0	1	0	0	0.001	شازيه
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اڄ
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0024	گھڻي
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	هميشه
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
VERB	فعل	4	4	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0002	سوچجي
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0016	سچ
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0008	ڳالهائجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0027	عزت
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	هر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0024	ڏيڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0016	ماحول
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	1	1	1	1	0	0	2	1	0	0	1	0	1	0.0005	سمجھڻ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0023	وقت
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.001	لڳي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	بازار
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0007	سامان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	0	1	1	1	0	0	2	0	0	1	1	0	0	0.0002	خريدوفروخت
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.001	ڪندو
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	هو
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
DET	ضمير اشارو			0	1	3	0	0	3	2	1	0	0	1	1	0	0.0001	هُوءَ
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	مائي
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	0	0	0	0.0008	جيڪا
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.001	زال
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0001	ڌنڌي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	ساٿ
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	ڏيندي
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	هئي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	دڪان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	تي
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	گھڻو
NOUN	اسم	1	1	0	1	2	0	2	0	2	0	0	1	1	0	0	0.0002	گوڙگڙٻڙ
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0021	ڪيو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0014	اڄڪلھ
ADJ	صفت	5	5	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	غريب
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
NOUN	اسم	1	1	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0001	نڌڻڪو
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0115	ٿي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.002	پيو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	کيس
DET	ضمير اشارو			0	1	3	0	0	3	2	0	1	0	1	0	0	0.0001	ڪوئي
VERB	فعل	4	4	1	1	3	0	0	3	1	0	0	0	1	0	1	0.0001	پڇڻ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	وارو
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0064	ئي
ADV	ظرف	7	7	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0005	ڪونهي
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
ADV	ظرف	7	7	0	1	3	0	0	3	2	0	0	1	1	0	0	0.0001	پلپل
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0004	ڏک
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.002	پيو
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0014	ڏسي
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	کيس
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0001	دولتمند
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
NOUN	اسم	1	1	0	1	2	0	2	0	2	0	0	1	1	0	0	0.0001	دڙڪوداٻ
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0068	ڪري
PRON	ضمير	2	2	0	2	3	0	0	3	2	0	1	0	0	0	0	0.0005	پنهنجا
NOUN	اسم	1	1	1	2	1	1	0	0	1	0	0	0	1	0	0	0.003	ڪم
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0001	وٺن
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.002	ڪو
NOUN	اسم	1	1	0	1	1	1	0	0	2	0	0	1	1	0	0	0.0002	خريدوفروخت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	وٽ
NOUN	اسم	1	1	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0007	سامان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
ADV	ظرف	7	7	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0005	ڪونهي
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	جنهن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ڪي
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	ڪجھ
NOUN	اسم	1	1	2	1	1	1	0	0	2	1	0	0	0	0	0	0.0001	خوشي
ADP	حرفِ جر	6	6	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0039	جا
NOUN	اسم	1	1	1	0	3	0	0	3	1	0	0	0	1	0	0	0.0002	پل
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0014	ڏسي
AUX	فعل معاون	8	8	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	سگھن
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
CONJ	حرف جملو	9	9	0	1	3	0	0	3	2	0	1	0	1	0	0	0.001	جيڪڏهن
NOUN	اسم	1	1	0	1	2	0	2	0	2	0	0	1	1	0	0	0.0002	گوڙگڙٻڙ
VERB	فعل	4	4	0	2	1	1	0	0	1	0	0	0	0	0	0	0.0026	ڪن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	کين
NOUN	اسم	1	1	0	2	2	0	2	0	2	0	0	1	1	0	0	0.0001	دڙڪادهمان
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	0	2	2	0	2	0	2	0	1	0	0	0	0	0.0001	ڌمڪيون
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0004	ملن
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0008	ٿيون
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0001	اسانجي
NOUN	اسم	1	1	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	معاشري
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
ADJ	صفت	5	5	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	غريب
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0092	ماڻهو
ADJ	صفت	5	5	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0002	ڏاڍا
ADJ	صفت	5	5	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0005	پريشان
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0001	ڏکايل
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	رهن
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	ٻڌايو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0021	منهنجي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ڳوٺ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
ADJ	صفت	5	5	0	1	3	0	0	3	2	0	0	1	1	0	0	0.0001	ايڪڙٻيڪڙ
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	0	0	0	0.002	ماڻهن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0001	سڃاڻي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	3	0	0	3	2	0	1	0	1	1	0	0.0001	هاءِهاءِ
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
VERB	فعل	4	4	0	1	2	0	2	0	2	1	0	0	0	0	0	0.0001	ماري
DET	ضمير اشارو			0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	هنن
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0007	ظلم
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0021	ڪيو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	2	0	2	0	2	0	1	0	1	0	0	0.0001	گھوڙاڙي
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	ڇت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	تان
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0068	ڪري
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.002	پيو
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
DET	ضمير اشارو			0	1	3	0	0	3	2	1	0	0	1	1	0	0.002	هوءَ
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0001	ڏسندي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0027	رهي
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0008	جڏهن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	1	0	0.0059	هُو
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	ڇت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	تي
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0064	ئي
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0001	چڙهيو
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	هو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0001	شاباش
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0014	تون
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	امتحان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	ڪامياب
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0115	ٿي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0001	وئين
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	2	0	2	0	2	1	0	0	1	0	0	0.0002	افسوس
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0013	آءَ
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	0	0	0	0.0013	تنهنجي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	مدد
ADV	ظرف	7	7	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0068	ڪري
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0002	سگھيس
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	2	0	2	0	2	1	0	0	1	0	0	0.0002	افسوس
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	1	0	0.0013	آءَ
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	0	0	0	0.0013	تنهنجي
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0023	وقت
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	مدد
ADV	ظرف	7	7	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0068	ڪري
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0002	سگھيس
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	پر
NUM	صفت عددي	12	12	0	1	3	0	0	3	2	1	0	0	0	0	0	0.001	ٻئي
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	دفعي
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	0	0	0	0.0013	تنهنجي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	مدد
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ضرور
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0001	ڪندس
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ڪيترو
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0086	به
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0001	ڀڄبو
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0024	پر
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0008	موت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0059	کان
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0004	بچي
ADV	ظرف	7	7	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0005	سگھبو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0013	موسم
ADV	ظرف	7	7	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0001	آهر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	لباس
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	1	0.0001	ڍڪڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0002	مار
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
DET	ضمير اشارو			0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	هن
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ههڙو
NOUN	اسم	1	1	1	1	2	0	2	0	1	0	0	0	1	0	0	0.0001	قهر
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0021	ڪيو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	مون
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0014	سٺي
PROPN	اسم خاص	3	3	2	1	3	0	0	3	2	1	0	0	1	0	0	0.0002	موبائيل
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	فون
VERB	فعل	4	4	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0001	ورتي
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0011	گلاب
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0001	ڳاڙهو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.001	گل
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.001	گل
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
INTJ	حرف ندا	11	11	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0002	مار
SYM	نشاني	16	16	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0011	!
INTJ	حرف ندا	11	11	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0001	ايڏو
